user_id,food_id,rating
1,1,5
1,2,4
1,3,1
1,4,1
1,5,5
2,1,1
2,2,5
2,3,3
2,4,5
2,5,4
3,1,3
3,2,2
3,3,1
3,4,3
3,5,3
4,1,5
4,2,4
4,3,1
4,4,5
4,5,1
1,6,5
1,7,
1,8,
2,6,1
2,7,1
2,8,1
3,6,3
3,7,3
3,8,3
4,6,5
4,7,5
4,8,5
1,9,
2,9,5
3,9,4
4,9,1
5,1,2
5,2,5
5,3,2
5,4,5
5,5,4
5,6,2
5,7,1
5,8,4
5,9,5
6,1,3
6,2,3
6,3,3
6,4,3
6,5,3
6,6,3
6,7,3
6,8,3
6,9,3
7,1,5
7,2,1
7,3,5
7,4,1
7,5,5
7,6,5
7,7,5
7,8,5
7,9,5
8,1,3
8,2,1
8,3,2
8,4,1
8,5,5
8,6,1
8,7,1
8,8,5
8,9,3
9,1,5
9,2,3
9,3,4
9,4,2
9,5,4
9,6,3
9,7,3
9,8,
9,9,
10,1,5
10,2,
10,3,5
10,4,
10,5,
10,6,
10,7,
10,8,5
10,9,1
11,1,1
11,2,5
11,3,5
11,4,5
11,5,5
11,6,1
11,7,1
11,8,1
11,9,5
12,1,5
12,2,5
12,3,5
12,4,5
12,5,5
12,6,5
12,7,5
12,8,5
12,9,5
13,1,1
13,2,
13,3,1
13,4,
13,5,1
13,6,1
13,7,
13,8,
13,9,1
14,1,3
14,2,
14,3,
14,4,3
14,5,
14,6,
14,7,5
14,8,
14,9,2
